segment,country,product,discount_band,units_sold,manufacturing_price,sale_price,gross_sales,discounts,sales,cogs,profit,date,month_number,month_name,year,año,mes,mes_nombre,trimestre,margen_bruto_pct,tasa_descuento_pct,ratio_cogs_ventas,rentabilidad_cat
Government,Canada, Carretera , None ," $1,618.50 ",3.0,20.0,32370.0,,32370.0,16185.0,16185.0,2014-01-01,1, January ,2014,2014,1,Jan,Q1,50.0,,50.0,🟢 Alta (>30%)
Government,Germany, Carretera , None ," $1,321.00 ",3.0,20.0,26420.0,,26420.0,13210.0,13210.0,2014-01-01,1, January ,2014,2014,1,Jan,Q1,50.0,,50.0,🟢 Alta (>30%)
Midmarket,France, Carretera , None ," $2,178.00 ",3.0,15.0,32670.0,,32670.0,21780.0,10890.0,2014-01-06,6, June ,2014,2014,1,Jan,Q1,33.33,,66.67,🟢 Alta (>30%)
Midmarket,Germany, Carretera , None , $888.00 ,3.0,15.0,13320.0,,13320.0,8880.0,4440.0,2014-01-06,6, June ,2014,2014,1,Jan,Q1,33.33,,66.67,🟢 Alta (>30%)
Midmarket,Mexico, Carretera , None ," $2,470.00 ",3.0,15.0,37050.0,,37050.0,24700.0,12350.0,2014-01-06,6, June ,2014,2014,1,Jan,Q1,33.33,,66.67,🟢 Alta (>30%)
Government,Germany, Carretera , None ," $1,513.00 ",3.0,350.0,529550.0,,529550.0,393380.0,136170.0,2014-01-12,12, December ,2014,2014,1,Jan,Q1,25.71,,74.29,🟡 Media (15-30%)
Midmarket,Germany, Montana , None , $921.00 ,5.0,15.0,13815.0,,13815.0,9210.0,4605.0,2014-01-03,3, March ,2014,2014,1,Jan,Q1,33.33,,66.67,🟢 Alta (>30%)
Channel Partners,Canada, Montana , None ," $2,518.00 ",5.0,12.0,30216.0,,30216.0,7554.0,22662.0,2014-01-06,6, June ,2014,2014,1,Jan,Q1,75.0,,25.0,🟢 Alta (>30%)
Government,France, Montana , None ," $1,899.00 ",5.0,20.0,37980.0,,37980.0,18990.0,18990.0,2014-01-06,6, June ,2014,2014,1,Jan,Q1,50.0,,50.0,🟢 Alta (>30%)
Channel Partners,Germany, Montana , None ," $1,545.00 ",5.0,12.0,18540.0,,18540.0,4635.0,13905.0,2014-01-06,6, June ,2014,2014,1,Jan,Q1,75.0,,25.0,🟢 Alta (>30%)
Midmarket,Mexico, Montana , None ," $2,470.00 ",5.0,15.0,37050.0,,37050.0,24700.0,12350.0,2014-01-06,6, June ,2014,2014,1,Jan,Q1,33.33,,66.67,🟢 Alta (>30%)
Enterprise,Canada, Montana , None ," $2,665.50 ",5.0,125.0,333187.5,,333187.5,319860.0,13327.5,2014-01-07,7, July ,2014,2014,1,Jan,Q1,4.0,,96.0,🟠 Baja (0-15%)
Small Business,Mexico, Montana , None , $958.00 ,5.0,300.0,287400.0,,287400.0,239500.0,47900.0,2014-01-08,8, August ,2014,2014,1,Jan,Q1,16.67,,83.33,🟡 Media (15-30%)
Government,Germany, Montana , None ," $2,146.00 ",5.0,7.0,15022.0,,15022.0,10730.0,4292.0,2014-01-09,9, September ,2014,2014,1,Jan,Q1,28.57,,71.43,🟡 Media (15-30%)
Enterprise,Canada, Montana , None , $345.00 ,5.0,125.0,43125.0,,43125.0,41400.0,1725.0,2013-01-10,10, October ,2013,2013,1,Jan,Q1,4.0,,96.0,🟠 Baja (0-15%)
Midmarket,United States of America, Montana , None , $615.00 ,5.0,15.0,9225.0,,9225.0,6150.0,3075.0,2014-01-12,12, December ,2014,2014,1,Jan,Q1,33.33,,66.67,🟢 Alta (>30%)
Government,Canada, Paseo , None , $292.00 ,10.0,20.0,5840.0,,5840.0,2920.0,2920.0,2014-01-02,2, February ,2014,2014,1,Jan,Q1,50.0,,50.0,🟢 Alta (>30%)
Midmarket,Mexico, Paseo , None , $974.00 ,10.0,15.0,14610.0,,14610.0,9740.0,4870.0,2014-01-02,2, February ,2014,2014,1,Jan,Q1,33.33,,66.67,🟢 Alta (>30%)
Channel Partners,Canada, Paseo , None ," $2,518.00 ",10.0,12.0,30216.0,,30216.0,7554.0,22662.0,2014-01-06,6, June ,2014,2014,1,Jan,Q1,75.0,,25.0,🟢 Alta (>30%)
Government,Germany, Paseo , None ," $1,006.00 ",10.0,350.0,352100.0,,352100.0,261560.0,90540.0,2014-01-06,6, June ,2014,2014,1,Jan,Q1,25.71,,74.29,🟡 Media (15-30%)
Channel Partners,Germany, Paseo , None , $367.00 ,10.0,12.0,4404.0,,4404.0,1101.0,3303.0,2014-01-07,7, July ,2014,2014,1,Jan,Q1,75.0,,25.0,🟢 Alta (>30%)
Government,Mexico, Paseo , None , $883.00 ,10.0,7.0,6181.0,,6181.0,4415.0,1766.0,2014-01-08,8, August ,2014,2014,1,Jan,Q1,28.57,,71.43,🟡 Media (15-30%)
Midmarket,France, Paseo , None , $549.00 ,10.0,15.0,8235.0,,8235.0,5490.0,2745.0,2013-01-09,9, September ,2013,2013,1,Jan,Q1,33.33,,66.67,🟢 Alta (>30%)
Small Business,Mexico, Paseo , None , $788.00 ,10.0,300.0,236400.0,,236400.0,197000.0,39400.0,2013-01-09,9, September ,2013,2013,1,Jan,Q1,16.67,,83.33,🟡 Media (15-30%)
Midmarket,Mexico, Paseo , None ," $2,472.00 ",10.0,15.0,37080.0,,37080.0,24720.0,12360.0,2014-01-09,9, September ,2014,2014,1,Jan,Q1,33.33,,66.67,🟢 Alta (>30%)
Government,United States of America, Paseo , None ," $1,143.00 ",10.0,7.0,8001.0,,8001.0,5715.0,2286.0,2014-01-10,10, October ,2014,2014,1,Jan,Q1,28.57,,71.43,🟡 Media (15-30%)
Government,Canada, Paseo , None ," $1,725.00 ",10.0,350.0,603750.0,,603750.0,448500.0,155250.0,2013-01-11,11, November ,2013,2013,1,Jan,Q1,25.71,,74.29,🟡 Media (15-30%)
Channel Partners,United States of America, Paseo , None , $912.00 ,10.0,12.0,10944.0,,10944.0,2736.0,8208.0,2013-01-11,11, November ,2013,2013,1,Jan,Q1,75.0,,25.0,🟢 Alta (>30%)
Midmarket,Canada, Paseo , None ," $2,152.00 ",10.0,15.0,32280.0,,32280.0,21520.0,10760.0,2013-01-12,12, December ,2013,2013,1,Jan,Q1,33.33,,66.67,🟢 Alta (>30%)
Government,Canada, Paseo , None ," $1,817.00 ",10.0,20.0,36340.0,,36340.0,18170.0,18170.0,2014-01-12,12, December ,2014,2014,1,Jan,Q1,50.0,,50.0,🟢 Alta (>30%)
Government,Germany, Paseo , None ," $1,513.00 ",10.0,350.0,529550.0,,529550.0,393380.0,136170.0,2014-01-12,12, December ,2014,2014,1,Jan,Q1,25.71,,74.29,🟡 Media (15-30%)
Government,Mexico, Velo , None ," $1,493.00 ",120.0,7.0,10451.0,,10451.0,7465.0,2986.0,2014-01-01,1, January ,2014,2014,1,Jan,Q1,28.57,,71.43,🟡 Media (15-30%)
Enterprise,France, Velo , None ," $1,804.00 ",120.0,125.0,225500.0,,225500.0,216480.0,9020.0,2014-01-02,2, February ,2014,2014,1,Jan,Q1,4.0,,96.0,🟠 Baja (0-15%)
Channel Partners,Germany, Velo , None ," $2,161.00 ",120.0,12.0,25932.0,,25932.0,6483.0,19449.0,2014-01-03,3, March ,2014,2014,1,Jan,Q1,75.0,,25.0,🟢 Alta (>30%)
Government,Germany, Velo , None ," $1,006.00 ",120.0,350.0,352100.0,,352100.0,261560.0,90540.0,2014-01-06,6, June ,2014,2014,1,Jan,Q1,25.71,,74.29,🟡 Media (15-30%)
Channel Partners,Germany, Velo , None ," $1,545.00 ",120.0,12.0,18540.0,,18540.0,4635.0,13905.0,2014-01-06,6, June ,2014,2014,1,Jan,Q1,75.0,,25.0,🟢 Alta (>30%)
Enterprise,United States of America, Velo , None ," $2,821.00 ",120.0,125.0,352625.0,,352625.0,338520.0,14105.0,2014-01-08,8, August ,2014,2014,1,Jan,Q1,4.0,,96.0,🟠 Baja (0-15%)
Enterprise,Canada, Velo , None , $345.00 ,120.0,125.0,43125.0,,43125.0,41400.0,1725.0,2013-01-10,10, October ,2013,2013,1,Jan,Q1,4.0,,96.0,🟠 Baja (0-15%)
Small Business,Canada, VTT , None ," $2,001.00 ",250.0,300.0,600300.0,,600300.0,500250.0,100050.0,2014-01-02,2, February ,2014,2014,1,Jan,Q1,16.67,,83.33,🟡 Media (15-30%)
Channel Partners,Germany, VTT , None ," $2,838.00 ",250.0,12.0,34056.0,,34056.0,8514.0,25542.0,2014-01-04,4, April ,2014,2014,1,Jan,Q1,75.0,,25.0,🟢 Alta (>30%)
Midmarket,France, VTT , None ," $2,178.00 ",250.0,15.0,32670.0,,32670.0,21780.0,10890.0,2014-01-06,6, June ,2014,2014,1,Jan,Q1,33.33,,66.67,🟢 Alta (>30%)
